SL No.,Change Category,Description,Duration (mins),Difficulty (1-10)
1,**Base Code Selection**,Used K-Means implementation from Python Data Science Handbook as reference.,10,2
2,**Dataset Change**,Replaced synthetic make_blobs dataset with the penguins dataset from Seaborn.,20,4
3,**Data Preprocessing**,Handled missing values by dropping NaNs and applied StandardScaler to normalize numerical features.,25,5
4,**Feature Selection**,Selected bill_length_mm bill_depth_mm flipper_length_mm and body_mass_g for clustering.,15,3
5,**Finding Optimal k**,Implemented the **Elbow Method** by computing WCSS for k=1 to k=10.,30,5
6,**Model Implementation**,Trained KMeans(n_clusters=3) based on the optimal k from Elbow Method.,20,4
7,**Cluster Evaluation**,Calculated **Silhouette Score** to assess clustering quality.,25,5
8,**Visualization - Cluster Scatter Plot**,Created a scatter plot of clustered data with centroids marked for better interpretation.,30,4
9,**Logging Integration**,Added logging for dataset loading preprocessing training and evaluation steps.,20,3
10,**Code Optimization**,Cleaned up code removed redundancies and improved efficiency.,20,3
